content_id,source_section,source_lines,content_type,content_summary,canonical_disposition,target_issue_ids,canonical_destination,evidence_status,supervisor_confirmation_required,notes
D027,Pseudo-diversification,627-639,definition,"Low Pearson correlation with adverse tail dependence",RETAIN_AS_DIAGNOSTIC,"#2;#5;#6",theory/repaired/,REQUIRES_REFORMULATION,YES,"Predeclare metrics and thresholds"
D028,Proposition 2,641-664,proposition,"Pseudo-diversifier inclusion/exclusion and higher CVaR",REPLACE_WITH_CONDITIONAL_DIAGNOSTICS,"#2;#5;#6",theory/repaired/,FALSE_IN_GENERAL,YES,"Means, constraints, and risk limits matter"
D029,Information–flexibility,666-680,definition,"Signal, precision, flexibility, and value of information",REPAIR_TIMING,"#2;#5;#6",theory/repaired/,REQUIRES_REFORMULATION,NO,"Use common outer expectation and signal-before-recourse"
D030,Theorem 3,682-712,theorem,"Zero value at rigidity and strict information–flexibility complementarity",RESTRICT,"#2;#5;#6",theory/repaired/,FALSE_IN_GENERAL,YES,"Retain common-policy zero bound and weak set monotonicity"
D031,Numerical Simulation—Design,715-754,simulation_design,"Multi-crop scenario experiment and calibration",REBUILD_FROM_FROZEN_DESIGN,"#4;#5;#6",simulation/,ILLUSTRATIVE_ONLY,NO,"No Draft parameter survives automatically"
D032,Numerical Simulation—Dependence,719-754,simulation_design,"Gaussian/Clayton and tail-dependence comparisons",REBUILD_AND_EXTEND,"#5;#6",simulation/,ILLUSTRATIVE_ONLY,NO,"Include Student-t and family sensitivity where justified"
D033,Numerical Simulation—Results,755-888,numerical_results,"Allocation, reversal, diversification, threshold, and welfare results",REGENERATE,"#6;#8;#9",simulation/outputs/,INADMISSIBLE,NO,"Draft numbers and threshold are not evidence"
D034,Numerical Simulation—Information,889-923,numerical_results,"Information–flexibility value results",REGENERATE_AS_HYPOTHESIS_TEST,"#5;#6;#8;#9",simulation/outputs/,INADMISSIBLE,NO,"Report zero, substitute, and nonmonotonic cases"
D035,Out-of-sample validation,924-939,validation,"Illustrative out-of-sample exercise",REBUILD_OR_REPORT_UNAVAILABLE,"#4;#7;#9",empirical/,UNRESOLVED,YES,"Requires timestamped design and frozen holdout"
D036,Empirical gap,924-939,empirical_design,"Observed acreage and ranking comparison",BUILD_FROM_OFFICIAL_DATA,"#4;#7;#8;#9",empirical/,NOT_YET_EXECUTED,NO,"Descriptive prevalence is not mechanism causation"
D037,Empirical gap,924-939,empirical_design,"Profit, cost-aware, and suitability ranking construction",BUILD_FROM_OFFICIAL_DATA,"#4;#7",empirical/,NOT_YET_EXECUTED,NO,"Geographic/temporal alignment required"
D038,Empirical gap,924-939,empirical_design,"Feasibility, near-optimality, multiple-optimum, and downside outcomes",BUILD_WITH_IDENTIFICATION_BOUNDARY,"#4;#7",empirical/,NOT_YET_EXECUTED,YES,"Private constraints and CVaR limits may remain latent"
D039,Discussion,941-985,interpretation,"Managerial, agricultural, and policy implications",REWRITE_TO_EVIDENCE_BOUNDARY,"#7;#9",manuscript/discussion,ILLUSTRATIVE_ONLY,YES,"Outlet and claim level require supervisor confirmation"
D040,Conclusion,986-1020,interpretation,"General conclusions and contribution claims",REWRITE_AFTER_EVIDENCE,"#3;#6;#7;#9",manuscript/conclusion,ILLUSTRATIVE_ONLY,NO,"Must not outrun verified results"
D041,Bibliography,1022-1204,references,"Draft bibliography",REVERIFY_FROM_ZERO,"#3",literature/,ILLUSTRATIVE_ONLY,NO,"No automatic admission"
D042,Tables and figures,715-923,visual_assets,"Draft simulation tables and conceptual figures",REGENERATE,"#6;#7;#8",figures/,INADMISSIBLE,NO,"All plotted values require code and source-data checksum"
D043,Supplementary material,whole draft,supplementary,"Proof, robustness, and reproducibility support",ADD_AND_COMPILE,"#2;#6;#7;#8;#9;#10",supplementary/,NOT_YET_EXECUTED,NO,"No silent deletion of core model detail"
D044,Manuscript build,whole draft,delivery,"Clean modular LaTeX and supervisor-review PDFs",REBUILD,"#9;#10",manuscript/,NOT_YET_EXECUTED,NO,"Final label required by Issue 10"
