crop,year,geography,ers_survey_base_year,yield_bushels_per_planted_acre,harvest_price_usd_per_bushel,operating_cost_usd_per_planted_acre,total_cost_usd_per_planted_acre,enterprise_size_planted_acres,dryland_share_percent,irrigated_share_percent,primary_margin_nominal_usd_per_planted_acre,cpi_u_annual_index,cpi_u_deflator_to_2024,primary_margin_real_2024_usd_per_planted_acre,annual_precipitation_inches,annual_mean_temperature_f
soybeans,2014,United States,Base survey of 2012,48.000000,10.880000,176.790000,466.720000,273.000000,90.000000,10.000000,345.450000,236.736167,1.325057,457.740822,30.810000,52.530000
soybeans,2015,United States,Base survey of 2012,48.000000,8.970000,166.970000,463.300000,273.000000,90.000000,10.000000,263.590000,237.017000,1.323487,348.857844,34.580000,54.380000
soybeans,2016,United States,Base survey of 2012,52.000000,9.460000,160.310000,443.460000,273.000000,90.000000,10.000000,331.610000,240.007167,1.306998,433.413533,31.410000,54.900000
soybeans,2017,United States,Base survey of 2012,49.000000,9.280000,158.080000,443.500000,273.000000,90.000000,10.000000,296.640000,245.119583,1.279738,379.621466,32.290000,54.540000
soybeans,2018,United States,Base survey of 2018,53.000000,8.610000,187.160000,495.860000,314.000000,90.000000,10.000000,269.170000,251.106833,1.249225,336.253785,34.620000,53.510000
soybeans,2019,United States,Base survey of 2018,50.000000,8.610000,187.710000,497.640000,314.000000,90.000000,10.000000,242.790000,255.657417,1.226989,297.900655,34.820000,52.660000
soybeans,2020,United States,Base survey of 2018,54.000000,9.670000,179.000000,491.820000,314.000000,90.000000,10.000000,343.180000,258.811167,1.212037,415.947021,30.380000,54.360000
soybeans,2021,United States,Base survey of 2018,55.000000,11.980000,193.790000,531.770000,314.000000,90.000000,10.000000,465.110000,270.969750,1.157653,538.435797,30.410000,54.500000
soybeans,2022,United States,Base survey of 2018,52.000000,13.490000,267.830000,628.280000,314.000000,90.000000,10.000000,433.650000,292.654917,1.071873,464.817622,28.450000,53.380000
soybeans,2023,United States,Base survey of 2023,54.000000,12.750000,268.230000,662.520000,374.000000,89.000000,11.000000,420.270000,304.701583,1.029495,432.665970,29.530000,54.360000
soybeans,2024,United States,Base survey of 2023,55.000000,9.920000,243.560000,650.830000,374.000000,89.000000,11.000000,302.040000,313.688833,1.000000,302.040000,31.640000,55.480000
wheat,1998,United States,Base survey of 1998,41.000000,2.680000,57.410000,165.190000,296.000000,95.000000,5.000000,52.470000,163.008333,1.924373,100.971851,33.850000,54.220000
wheat,1999,United States,Base survey of 1998,39.000000,2.480000,54.820000,166.150000,296.000000,95.000000,5.000000,41.900000,166.575000,1.883169,78.904770,28.460000,53.870000
wheat,2000,United States,Base survey of 1998,38.000000,2.460000,58.380000,173.860000,296.000000,95.000000,5.000000,35.100000,172.200000,1.821654,63.940058,28.220000,53.250000
wheat,2001,United States,Base survey of 1998,35.000000,2.760000,64.940000,183.340000,296.000000,95.000000,5.000000,31.660000,177.066667,1.771586,56.088414,29.020000,53.680000
wheat,2002,United States,Base survey of 1998,28.000000,3.280000,57.070000,175.630000,296.000000,95.000000,5.000000,34.770000,179.875000,1.743927,60.636335,29.050000,53.200000
wheat,2003,United States,Base survey of 1998,41.000000,3.110000,67.680000,191.120000,296.000000,95.000000,5.000000,59.830000,183.958333,1.705217,102.023119,30.490000,53.240000
wheat,2004,United States,Base survey of 2004,40.000000,3.440000,70.820000,190.600000,412.000000,95.000000,5.000000,66.780000,188.883333,1.660754,110.905181,33.230000,53.080000
wheat,2005,United States,Base survey of 2004,40.000000,3.170000,79.450000,207.450000,412.000000,95.000000,5.000000,47.350000,195.291667,1.606258,76.056324,30.080000,53.630000
wheat,2006,United States,Base survey of 2004,33.000000,4.120000,85.010000,216.780000,412.000000,95.000000,5.000000,50.950000,201.591667,1.556061,79.281283,29.820000,54.240000
wheat,2007,United States,Base survey of 2004,37.000000,5.250000,93.030000,231.990000,412.000000,95.000000,5.000000,101.220000,207.342417,1.512902,153.135978,29.160000,53.640000
wheat,2008,United States,Base survey of 2004,41.000000,7.860000,125.680000,277.400000,412.000000,95.000000,5.000000,196.580000,215.302500,1.456968,286.410752,31.240000,52.280000
wheat,2009,United States,Base survey of 2009,40.000000,5.540000,112.920000,263.240000,443.000000,95.000000,5.000000,108.680000,214.537000,1.462167,158.908265,32.290000,52.380000
wheat,2010,United States,Base survey of 2009,45.000000,4.750000,102.780000,257.400000,443.000000,95.000000,5.000000,110.970000,218.055500,1.438573,159.638486,31.360000,52.980000
wheat,2011,United States,Base survey of 2009,38.000000,7.350000,121.890000,287.570000,443.000000,95.000000,5.000000,157.410000,224.939167,1.394550,219.516058,30.090000,53.170000
wheat,2012,United States,Base survey of 2009,44.000000,7.580000,126.720000,302.000000,443.000000,95.000000,5.000000,206.800000,229.593917,1.366277,282.546035,27.520000,55.270000
wheat,2013,United States,Base survey of 2009,39.000000,7.090000,128.150000,312.030000,443.000000,95.000000,5.000000,148.360000,232.957083,1.346552,199.774459,31.040000,52.420000
wheat,2014,United States,Base survey of 2009,37.000000,6.440000,126.330000,316.280000,443.000000,95.000000,5.000000,111.950000,236.736167,1.325057,148.340093,30.810000,52.530000
wheat,2015,United States,Base survey of 2009,40.000000,5.120000,116.350000,310.500000,443.000000,95.000000,5.000000,88.450000,237.017000,1.323487,117.062393,34.580000,54.380000
wheat,2016,United States,Base survey of 2009,51.000000,3.930000,108.800000,300.940000,443.000000,95.000000,5.000000,91.630000,240.007167,1.306998,119.760206,31.410000,54.900000
wheat,2017,United States,Base survey of 2017,46.000000,4.800000,122.890000,306.760000,562.000000,95.000000,5.000000,97.910000,245.119583,1.279738,125.299143,32.290000,54.540000
wheat,2018,United States,Base survey of 2017,49.000000,5.210000,128.760000,322.500000,562.000000,95.000000,5.000000,126.530000,251.106833,1.249225,158.064389,34.620000,53.510000
wheat,2019,United States,Base survey of 2017,53.000000,4.640000,132.230000,326.570000,562.000000,95.000000,5.000000,113.690000,255.657417,1.226989,139.496377,34.820000,52.660000
wheat,2020,United States,Base survey of 2017,52.000000,4.610000,122.920000,319.740000,562.000000,95.000000,5.000000,116.800000,258.811167,1.212037,141.565977,30.380000,54.360000
wheat,2021,United States,Base survey of 2017,42.000000,6.670000,137.020000,353.760000,562.000000,95.000000,5.000000,143.120000,270.969750,1.157653,165.683239,30.410000,54.500000
wheat,2022,United States,Base survey of 2022,40.000000,8.950000,184.990000,401.810000,451.000000,97.000000,3.000000,173.010000,292.654917,1.071873,185.444706,28.450000,53.380000
wheat,2023,United States,Base survey of 2022,41.000000,7.520000,169.680000,396.920000,451.000000,97.000000,3.000000,138.640000,304.701583,1.029495,142.729222,29.530000,54.360000
wheat,2024,United States,Base survey of 2022,51.000000,5.540000,154.120000,390.970000,451.000000,97.000000,3.000000,128.420000,313.688833,1.000000,128.420000,31.640000,55.480000
