state,decision_year,lag_year,crop,ranking_definition,lag_score,lag_score_rank,lag_score_z,lag_score_top,lag_acreage_share,observed_acreage_share,acreage_share_change,lag_acreage_rank,acreage_rank,acreage_rank_change,score_rank,score_rank_change,lag_acreage_top,acreage_top,timing_status,claim_level
Arkansas,2024,2023,winter_wheat,operating_margin,266.5980252,3,-1.15469850428,False,0.0566502463054,0.0353260869565,-0.0213241593489,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2023,2022,corn,operating_margin,624.35530377,1,0.86410252264,True,0.4,0.432098765432,0.0320987654321,1,1,0,2,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2023,2022,soybeans,operating_margin,334.68162552,3,-1.09537254303,False,0.4,0.37037037037,-0.0296296296296,1,2,1,3,0,True,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2023,2022,winter_wheat,operating_margin,530.80222833,2,0.231270020394,False,0.2,0.197530864198,-0.00246913580247,3,3,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2024,2023,corn,operating_margin,463.4168793,2,0.192942520962,False,0.432098765432,0.423076923077,-0.00902184235518,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2024,2023,soybeans,operating_margin,327.65737365,3,-1.08241237825,False,0.37037037037,0.397435897436,0.0270655270655,2,2,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Delaware,2024,2023,winter_wheat,operating_margin,537.5611092,1,0.889469857286,True,0.197530864198,0.179487179487,-0.0180436847104,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2023,2022,corn,operating_margin,659.08398897,1,1.14376493668,True,0.532051282051,0.577380952381,0.0453296703297,1,1,0,1,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2023,2022,soybeans,operating_margin,305.76249198,3,-0.709182603879,False,0.211538461538,0.190476190476,-0.0210622710623,3,3,0,2,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2023,2022,winter_wheat,operating_margin,358.12348803,2,-0.434582332799,False,0.25641025641,0.232142857143,-0.0242673992674,2,2,0,3,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2024,2023,corn,operating_margin,387.4401483,1,1.11383586181,True,0.577380952381,0.54347826087,-0.0339026915114,1,1,0,2,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2024,2023,soybeans,operating_margin,288.2791899,2,-0.293237717924,False,0.190476190476,0.246376811594,0.055900621118,3,2,-1,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Georgia,2024,2023,winter_wheat,operating_margin,251.1144204,3,-0.820598143882,False,0.232142857143,0.210144927536,-0.0219979296066,2,3,1,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2023,2022,corn,operating_margin,929.96773353,1,1.13936738134,True,0.485393258427,0.500223313979,0.0148300555525,1,1,0,2,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2023,2022,soybeans,operating_margin,623.87296092,2,-0.407259930847,False,0.485393258427,0.462259937472,-0.0231333209549,1,2,1,1,-1,True,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2023,2022,winter_wheat,operating_margin,559.58201838,3,-0.732107450492,False,0.0292134831461,0.0375167485485,0.00830326540239,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2024,2023,corn,operating_margin,549.5238411,2,0.555674920684,False,0.500223313979,0.482789450156,-0.017433863823,1,1,0,1,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2024,2023,soybeans,operating_margin,550.8004149,1,0.598757678186,True,0.462259937472,0.482789450156,0.0205295126844,2,1,-1,2,1,False,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Illinois,2024,2023,winter_wheat,operating_margin,498.8520972,3,-1.15443259887,False,0.0375167485485,0.0344210996871,-0.00309564886138,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2023,2022,corn,operating_margin,763.27004457,1,1.14229285381,True,0.460930640913,0.479964773228,0.0190341323146,2,2,0,2,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2023,2022,soybeans,operating_margin,544.345343685,3,-0.717349289741,False,0.513608428446,0.484368119771,-0.029240308675,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2023,2022,winter_wheat,operating_margin,578.76854508,2,-0.424943564068,False,0.0254609306409,0.0356671070013,0.0102061763604,3,3,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2024,2023,corn,operating_margin,534.3284949,2,0.322125959765,False,0.479964773228,0.459770114943,-0.0201946582851,2,2,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2024,2023,soybeans,operating_margin,524.5482924,3,-1.12136301088,False,0.484368119771,0.512820512821,0.0284523930495,1,1,0,2,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Indiana,2024,2023,winter_wheat,operating_margin,537.5611092,1,0.799237051115,True,0.0356671070013,0.027409372237,-0.00825773476436,3,3,0,3,2,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2023,2022,corn,operating_margin,242.33976657,1,1.08391938345,True,0.3081232493,0.314551422319,0.00642817301975,2,2,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2023,2022,soybeans,operating_margin,110.558340585,3,-0.886690133715,False,0.282913165266,0.242341356674,-0.0405718085921,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2023,2022,winter_wheat,operating_margin,156.66495768,2,-0.197229249736,False,0.408963585434,0.443107221007,0.0341436355724,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2024,2023,corn,operating_margin,108.8588013,1,0.833807447578,True,0.314551422319,0.341833966359,0.0272825440397,2,2,0,3,2,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2024,2023,soybeans,operating_margin,65.13614865,3,-1.10869404988,False,0.242341356674,0.24579489962,0.00345354294622,3,3,0,1,-2,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kansas,2024,2023,winter_wheat,operating_margin,96.2783724,2,0.274886602301,False,0.443107221007,0.412371134021,-0.0307360869859,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2023,2022,corn,operating_margin,527.11498521,2,0.191968307957,False,0.364102564103,0.39603960396,0.0319370398578,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2023,2022,soybeans,operating_margin,450.35815968,3,-1.082067886,False,0.5,0.45297029703,-0.0470297029703,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2023,2022,winter_wheat,operating_margin,569.17528173,1,0.890099578042,True,0.135897435897,0.15099009901,0.0150926631125,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2024,2023,corn,operating_margin,453.2866485,2,-0.460617717892,False,0.39603960396,0.344221105528,-0.0518184984328,2,2,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2024,2023,soybeans,operating_margin,445.7919249,3,-0.686682683258,False,0.45297029703,0.515075376884,0.0621050798547,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Kentucky,2024,2023,winter_wheat,operating_margin,506.5938996,1,1.14730040115,True,0.15099009901,0.140703517588,-0.010286581422,3,3,0,2,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2023,2022,corn,operating_margin,589.62661857,1,0.715758099902,True,0.324324324324,0.372093023256,0.0477686989315,2,1,-1,2,1,False,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2023,2022,soybeans,operating_margin,334.68162552,3,-1.14258775821,False,0.401544401544,0.364341085271,-0.0372033162731,1,2,1,3,0,True,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2023,2022,winter_wheat,operating_margin,549.98875503,2,0.426829658309,False,0.274131274131,0.263565891473,-0.0105653826584,3,3,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2024,2023,corn,operating_margin,341.8541097,2,-0.570810594367,False,0.372093023256,0.349206349206,-0.0228866740495,1,2,1,3,1,True,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2024,2023,soybeans,operating_margin,340.7834349,3,-0.583865344803,False,0.364341085271,0.392857142857,0.0285160575858,2,1,-1,2,-1,False,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Maryland,2024,2023,winter_wheat,operating_margin,483.3684924,1,1.15467593917,True,0.263565891473,0.257936507937,-0.00562938353636,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2023,2022,corn,operating_margin,610.46382969,1,0.627702445656,True,0.459081836327,0.47619047619,0.0171086398631,1,1,0,2,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2023,2022,soybeans,operating_margin,392.5198926,3,-1.15319157679,False,0.449101796407,0.404761904762,-0.0443398916453,2,2,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2023,2022,winter_wheat,operating_margin,597.95507178,2,0.525489131133,False,0.0918163672655,0.119047619048,0.0272312517821,3,3,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2024,2023,corn,operating_margin,357.0494559,2,-0.367107027548,False,0.47619047619,0.463917525773,-0.0122729504173,1,1,0,2,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2024,2023,soybeans,operating_margin,327.65737365,3,-0.764562683084,False,0.404761904762,0.453608247423,0.0488463426608,2,2,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Michigan,2024,2023,winter_wheat,operating_margin,467.8848876,1,1.13166971063,True,0.119047619048,0.0824742268041,-0.0365733922435,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2023,2022,corn,operating_margin,589.62661857,1,0.871518156945,True,0.19397993311,0.255663430421,0.0616834973103,2,2,0,2,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2023,2022,soybeans,operating_margin,493.73685999,2,0.220245553055,False,0.772575250836,0.705501618123,-0.0670736327131,1,1,0,1,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2023,2022,winter_wheat,operating_margin,300.56390793,3,-1.09176371,False,0.0334448160535,0.0388349514563,0.0053901354028,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2024,2023,corn,operating_margin,422.8959561,2,0.42635480746,False,0.255663430421,0.171929824561,-0.0837336058593,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2024,2023,soybeans,operating_margin,458.91798615,1,0.716159017388,True,0.705501618123,0.80701754386,0.101515925737,1,1,0,1,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Mississippi,2024,2023,winter_wheat,operating_margin,227.8890132,3,-1.14251382485,False,0.0388349514563,0.0210526315789,-0.0177823198774,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2023,2022,corn,operating_margin,561.84367041,1,1.15418528477,True,0.332341269841,0.376344086022,0.0440028161802,2,2,0,3,2,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2023,2022,soybeans,operating_margin,370.830542445,3,-0.606963134785,False,0.605158730159,0.547409579668,-0.0577491504911,1,1,0,2,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2023,2022,winter_wheat,operating_margin,377.31001473,2,-0.547222149985,False,0.0625,0.0762463343109,0.0137463343109,3,3,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2024,2023,corn,operating_margin,281.0727249,3,-1.14271326859,False,0.376344086022,0.344311377246,-0.032032708776,2,2,0,1,-2,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2024,2023,soybeans,operating_margin,353.90949615,2,0.427638892355,False,0.547409579668,0.588822355289,0.0414127756218,1,1,0,3,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Missouri,2024,2023,winter_wheat,operating_margin,367.2414564,1,0.715074376231,True,0.0762463343109,0.0668662674651,-0.00938006684578,3,3,0,2,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2023,2022,corn,operating_margin,589.62661857,1,0.886559797218,True,0.587875076546,0.609308022045,0.0214329454991,1,1,0,1,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2023,2022,soybeans,operating_margin,421.43902614,2,0.197429703682,False,0.352112676056,0.321494182486,-0.0306184935701,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2023,2022,winter_wheat,operating_margin,108.69864093,3,-1.0839895009,False,0.0600122473974,0.0691977954685,0.00918554807103,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2024,2023,corn,operating_margin,427.9610715,1,0.666919659381,True,0.609308022045,0.614678899083,0.00537087703725,1,1,0,2,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2024,2023,soybeans,operating_margin,399.850710525,2,0.48288178137,False,0.321494182486,0.324159021407,0.00266483892051,2,2,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
Nebraska,2024,2023,winter_wheat,operating_margin,150.4709892,3,-1.14980144075,False,0.0691977954685,0.0611620795107,-0.00803571595776,3,3,0,3,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New Jersey,2023,2022,corn,operating_margin,235.39402953,2,-0.221337309564,False,0.333333333333,0.355769230769,0.0224358974359,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New Jersey,2023,2022,soybeans,operating_margin,117.78812397,3,-0.870788092378,False,0.539215686275,0.480769230769,-0.0584464555053,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New Jersey,2023,2022,winter_wheat,operating_margin,473.24264823,1,1.09212540194,True,0.127450980392,0.163461538462,0.0360105580694,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2023,2022,corn,operating_margin,429.87466665,2,0.0192446295648,False,0.673333333333,0.675324675325,0.00199134199134,1,1,0,3,1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2023,2022,soybeans,operating_margin,363.60075906,3,-1.00948342172,False,0.233333333333,0.227272727273,-0.00606060606061,2,2,0,2,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2023,2022,winter_wheat,operating_margin,492.42917493,1,0.990238792159,True,0.0933333333333,0.0974025974026,0.00406926406926,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2024,2023,corn,operating_margin,311.4634173,3,-1.04918245303,False,0.675324675325,0.668852459016,-0.00647221630828,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2024,2023,soybeans,operating_margin,393.2876799,2,0.106964437166,False,0.227272727273,0.24262295082,0.0153502235469,2,2,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
New York,2024,2023,winter_wheat,operating_margin,452.4012828,1,0.942218015868,True,0.0974025974026,0.0885245901639,-0.00887800723866,3,3,0,2,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2023,2022,corn,operating_margin,318.74287401,2,-0.214415709939,False,0.273333333333,0.309446254072,0.0361129207383,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2023,2022,soybeans,operating_margin,269.613575055,3,-0.875400626318,False,0.566666666667,0.534201954397,-0.0324647122693,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2023,2022,winter_wheat,operating_margin,415.68306813,1,1.08981633626,True,0.16,0.156351791531,-0.00364820846906,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2024,2023,corn,operating_margin,250.6820325,2,-0.426753575469,False,0.309446254072,0.303754266212,-0.00569198786006,2,2,0,3,1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2024,2023,soybeans,operating_margin,229.211914275,3,-0.71582235097,False,0.534201954397,0.556313993174,0.0221120387767,1,1,0,2,-1,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Carolina,2024,2023,winter_wheat,operating_margin,367.2414564,1,1.14257592644,True,0.156351791531,0.139931740614,-0.0164200509166,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Dakota,2023,2022,corn,operating_margin,346.52582217,2,0.384176305655,False,0.336950314106,0.389235944258,0.0522856301513,2,2,0,2,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Dakota,2023,2022,soybeans,operating_margin,219.00509136,3,-1.13511860018,False,0.651056539121,0.595867371456,-0.0551891676645,1,1,0,3,0,True,True,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Dakota,2023,2022,winter_wheat,operating_margin,377.31001473,1,0.750942294523,True,0.0119931467733,0.0148966842864,0.00290353751313,3,3,0,1,0,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
North Dakota,2024,2023,corn,operating_margin,230.4215709,2,0.116781972028,False,0.389235944258,0.370023419204,-0.0192125250538,2,2,0,1,-1,False,False,LAGGED_SCORE_PRECEDES_DECISION_YEAR_ACREAGE,DESCRIPTIVE_TRANSITION_NOT_CAUSAL
