ranking_definition,state,years,mean_inversion_intensity,minimum_inversion_intensity,maximum_inversion_intensity,top_reversal_rate,claim_level
operating_margin,Tennessee,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Texas,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Virginia,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
operating_margin,Wisconsin,3,0.555555555556,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Alabama,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Arkansas,3,0.555555555556,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Delaware,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Georgia,3,0.555555555556,0.333333333333,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Illinois,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Indiana,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Kansas,3,0,0,0,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Kentucky,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Maryland,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Michigan,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Mississippi,3,0.333333333333,0,0.666666666667,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Missouri,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Nebraska,3,0.222222222222,0,0.333333333333,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,New Jersey,2,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,New York,3,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,North Carolina,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,North Dakota,3,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Ohio,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Oklahoma,3,0.555555555556,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Pennsylvania,3,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,South Carolina,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,South Dakota,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Tennessee,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Texas,3,0.333333333333,0,1,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Virginia,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
relative_yield,Wisconsin,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Alabama,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Arkansas,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Delaware,3,0.222222222222,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Georgia,3,0.222222222222,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Illinois,3,0,0,0,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Indiana,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Kansas,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Kentucky,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Maryland,3,0.444444444444,0.333333333333,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Michigan,3,0.222222222222,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Mississippi,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Missouri,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Nebraska,3,0,0,0,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,New Jersey,2,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,New York,3,0.111111111111,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,North Carolina,3,0.444444444444,0,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,North Dakota,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Ohio,3,0.333333333333,0.333333333333,0.333333333333,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Oklahoma,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Pennsylvania,3,0.111111111111,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,South Carolina,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,South Dakota,3,0,0,0,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Tennessee,3,0.444444444444,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Texas,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Virginia,3,0.555555555556,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
standardized_revenue,Wisconsin,3,0,0,0,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Alabama,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Arkansas,3,0.555555555556,0.333333333333,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Delaware,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Georgia,3,0.444444444444,0,1,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Illinois,3,0.666666666667,0.333333333333,1,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Indiana,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Kansas,3,0.111111111111,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Kentucky,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Maryland,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Michigan,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Mississippi,3,0.333333333333,0.333333333333,0.333333333333,0.333333333333,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Missouri,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Nebraska,3,0.333333333333,0,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,New Jersey,2,1,1,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,New York,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,North Carolina,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,North Dakota,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Ohio,3,0.777777777778,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Oklahoma,3,0.444444444444,0,0.666666666667,0.666666666667,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Pennsylvania,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,South Carolina,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,South Dakota,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Tennessee,3,0.666666666667,0.666666666667,0.666666666667,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Texas,3,0.111111111111,0,0.333333333333,0,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Virginia,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
total_cost_margin,Wisconsin,3,0.888888888889,0.666666666667,1,1,DESCRIPTIVE_STATE_HETEROGENEITY_NO_STATE_RANKING
