source_data,source_sha256,upstream_inputs,upstream_sha256,transformation
visualization/stage_ii/source_data/figure6_definition_summary.csv,ef914a8b45a0f33ec7a60cfd873d95f4b8de8731600f447acde0a06b7d9f0b51,empirical/outputs/definition_summary.csv,6c3182ef1ea1b7ade1fc2a170f574c73591ec7b1d07950b6537a20114ce4fd48,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_state_heterogeneity.csv,61624dc4e7ec477aaab67ee6364ee5b977142b6e56cc569e947ee0f9d3cb350d,empirical/outputs/state_heterogeneity.csv,3d0fd0c0308eddac4d8145e989db1919a11925794be4ae2bfdb4ca7d7c0e81f7,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_year_heterogeneity.csv,c8238716b79b752f857b5bf7d36aeaa440df39053af16c4fafb642bee25013aa,empirical/outputs/year_heterogeneity.csv,7dfa8f42b5c52021f3cbde70c32585ab3d0a21f9b4029f01bdfb351f648dfc47,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_lagged_2024_validation.csv,0f04043d52ac9e1d172b061321307fbeb9ceae25b2586575b322c3ccc7bddb13,empirical/outputs/lagged_2024_validation.csv,0f04043d52ac9e1d172b061321307fbeb9ceae25b2586575b322c3ccc7bddb13,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_national_check.csv,d67b940afff9222af02ad625dccfc3b9c79f53a3914985d07cda0b2261221aa7,empirical/outputs/national_check.csv,f775fbed51614799fd39495aa16ba90f704c35ebea7964d4f037d237992cfac2,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_leave_one_year_out.csv,ea1e35c0ae808d7be0a205f731c8ddd6c1a1e65ff41d57506d1ae78fd0002616,empirical/outputs/leave_one_year_out.csv,dd46ab3eb66d56d0e328d1d1ad2d9e3add7c9ac311bf92cc9084e917bd7e6c9c,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_claim_boundaries.csv,b315e6404f6c76f7129e751a9d46c1f16e6d3f4ce58069318c782228e3f67361,empirical/outputs/claim_boundaries.csv,b315e6404f6c76f7129e751a9d46c1f16e6d3f4ce58069318c782228e3f67361,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_sample_flow.csv,37bf7e0427a7f23b11cd7d9e0a301b1e2b54d7e0a9de11c0ad3128d5c605cd90,empirical/outputs/sample_flow.csv,37bf7e0427a7f23b11cd7d9e0a301b1e2b54d7e0a9de11c0ad3128d5c605cd90,verbatim admitted empirical output
visualization/stage_ii/source_data/figure6_stage2_inversion_intensity_summary.csv,4f35630487be3ba371f4486bcf56b0de8a0ffef6e5febb3479ac336d985d1ce9,empirical/stage_ii/outputs/inversion_intensity_summary.csv,4f35630487be3ba371f4486bcf56b0de8a0ffef6e5febb3479ac336d985d1ce9,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_transition_summary.csv,437b3d11643e4460a63617f9222736afefcf9d21a7a65b2e034724b5ab55f6fa,empirical/stage_ii/outputs/transition_summary.csv,437b3d11643e4460a63617f9222736afefcf9d21a7a65b2e034724b5ab55f6fa,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_rank_transition_events.csv,8ec19684b91428c3abecd47e5f7e1eef84923ae3ca26e985ac78ee634fb3c7d6,empirical/stage_ii/outputs/rank_transition_events.csv,8ec19684b91428c3abecd47e5f7e1eef84923ae3ca26e985ac78ee634fb3c7d6,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_state_heterogeneity.csv,077aca7ad1b0fef9d01055b2a5c47068542747afd508157b60c7682e54492c00,empirical/stage_ii/outputs/state_heterogeneity.csv,077aca7ad1b0fef9d01055b2a5c47068542747afd508157b60c7682e54492c00,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_year_heterogeneity.csv,9c67b05b510c9b7f468a78408cf72f58eedaa868d35efaab63cab3fd84acf2f9,empirical/stage_ii/outputs/year_heterogeneity.csv,9c67b05b510c9b7f468a78408cf72f58eedaa868d35efaab63cab3fd84acf2f9,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_aggregation_summary.csv,a2f189ec6a9f0d11a53503f3d03ae3b4aceafd319ae1a1a0ae9b70cd276440c7,empirical/stage_ii/outputs/aggregation_summary.csv,a2f189ec6a9f0d11a53503f3d03ae3b4aceafd319ae1a1a0ae9b70cd276440c7,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_observed_model_unidentified.csv,0726c98716c614df59b2e97e86ccdb6d7d939b964fa643580b62485db756c80c,empirical/stage_ii/outputs/observed_model_unidentified.csv,0726c98716c614df59b2e97e86ccdb6d7d939b964fa643580b62485db756c80c,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/figure6_stage2_claim_boundaries.csv,def442f57ac5178bb28388820001429269a1108250470f334eed4b3dcff7bd18,empirical/stage_ii/outputs/claim_boundaries.csv,def442f57ac5178bb28388820001429269a1108250470f334eed4b3dcff7bd18,verbatim GOAL-15 admitted-data output
visualization/stage_ii/source_data/supplementary_stopping_summary.csv,8a3f06b510f3a999311238e0fd83e523e3d38c481242d5a261e37cd0a41c3d87,simulation/stage_ii/outputs/sequential_stopping.csv,0e880ec7b04682036c06f6d3f332c5571b7d4f10b21b7e008e2c703a97dcb28b,final scheduled precision decision by experiment
visualization/stage_ii/source_data/supplementary_adverse_inventory.csv,faf459defbb5784b17ece8627c1bce4bb0647cfa9e085dbd416a7db3748f7026,simulation/stage_ii/outputs/mechanism_summary.csv,0626a93b465fc7261b9b394c44b8737c68cef5d6ad91f26399f925580991afc9,complete failed-experiment inventory
visualization/stage_ii/source_data/supplementary_infeasible_summary.csv,2fa7b70ff98adb95853ea3624b41c85e553aadaa1cf74830645a0d615076687b,simulation/stage_ii/outputs/raw_replications.csv,b892eebe3b58d5bed81676164de910caf01d863d70bb6e7709e82868be64db09,complete registered-infeasible count by experiment and cell
visualization/stage_ii/source_data/supplementary_order_sensitivity.csv,5daf7f364c21d0670454d3ed0b91acc3b0791c60b24baf5f61c0b4b976bb0fb6,simulation/stage_ii/outputs/block_attribution.csv,70cbbbd7fb8e301ac352321b758d862ff211cb14402721834a992d860c65a4a4,all-order contribution range
visualization/stage_ii/source_data/supplementary_numerical_diagnostics.csv,3f0bb6b024a573e935755be75bc5c40f467ee756dd52ef615433344e484bb5d6,simulation/stage_ii/outputs/independent_replay.csv;simulation/stage_ii/outputs/solver_sensitivity.csv;simulation/stage_ii/outputs/kkt_pressures.csv;simulation/stage_ii/outputs/block_attribution.csv;simulation/stage_ii/outputs/raw_replications.csv,92e94673029a3f730009748430e980a11bf3ff730fd8e2e0ad88f3ad3d65eff0;451bbaeeef2914428c1a2e1857f05817b77a033eed50855f0216b99199d5b484;de9789897af954ff73e64e6b54e413d2d4846adad7e6b7eab281089ad0e9bc0b;70cbbbd7fb8e301ac352321b758d862ff211cb14402721834a992d860c65a4a4;b892eebe3b58d5bed81676164de910caf01d863d70bb6e7709e82868be64db09,predeclared numerical-gate extraction
