ranking_definition,omitted_state,state_years,mean_inversion_intensity,mean_kendall_tau_b
relative_yield,Nebraska,239,0.719665271967,-0.449438561665
relative_yield,New Jersey,240,0.694444444444,-0.39895478988
relative_yield,New York,239,0.693165969317,-0.396439956365
relative_yield,North Carolina,239,0.701534170153,-0.413176358039
relative_yield,North Dakota,239,0.695955369596,-0.402018756923
relative_yield,Ohio,239,0.704323570432,-0.418755158597
relative_yield,Oklahoma,239,0.708507670851,-0.427123359434
relative_yield,Pennsylvania,239,0.693165969317,-0.396439956365
relative_yield,South Carolina,239,0.701534170153,-0.413176358039
relative_yield,South Dakota,239,0.700139470014,-0.41038695776
relative_yield,Tennessee,239,0.700139470014,-0.41038695776
relative_yield,Texas,239,0.712691771269,-0.43549156027
relative_yield,Virginia,239,0.698744769874,-0.407597557481
relative_yield,West Virginia,245,0.702040816327,-0.413942107094
relative_yield,Wisconsin,239,0.697350069735,-0.404808157202
standardized_revenue,Alabama,239,0.29009762901,0.414711951504
standardized_revenue,Arkansas,239,0.294281729428,0.406343750667
standardized_revenue,Delaware,239,0.302649930265,0.392396749272
standardized_revenue,Florida,245,0.297959183673,0.399113563576
standardized_revenue,Georgia,239,0.298465829847,0.39797554983
standardized_revenue,Illinois,239,0.306834030683,0.382774741622
standardized_revenue,Indiana,239,0.294281729428,0.406343750667
standardized_revenue,Iowa,245,0.299319727891,0.396392475141
standardized_revenue,Kansas,239,0.281729428173,0.431448353178
standardized_revenue,Kentucky,239,0.292887029289,0.409133150946
standardized_revenue,Louisiana,245,0.295238095238,0.404555740447
standardized_revenue,Maryland,239,0.294281729428,0.406343750667
standardized_revenue,Michigan,239,0.302649930265,0.390375145726
standardized_revenue,Minnesota,245,0.297959183673,0.399113563576
standardized_revenue,Mississippi,239,0.294281729428,0.406343750667
standardized_revenue,Missouri,239,0.294281729428,0.406343750667
standardized_revenue,Nebraska,239,0.306834030683,0.381239148157
standardized_revenue,New Jersey,240,0.291666666667,0.41159509615
standardized_revenue,New York,239,0.305439330544,0.384028548436
standardized_revenue,North Carolina,239,0.291492329149,0.411922551225
standardized_revenue,North Dakota,239,0.292887029289,0.409133150946
standardized_revenue,Ohio,239,0.294281729428,0.406343750667
standardized_revenue,Oklahoma,239,0.271966527197,0.45097415513
standardized_revenue,Pennsylvania,239,0.305439330544,0.384028548436
standardized_revenue,South Carolina,239,0.295676429568,0.403554350388
standardized_revenue,South Dakota,239,0.304044630404,0.386817948715
standardized_revenue,Tennessee,239,0.292887029289,0.409133150946
standardized_revenue,Texas,239,0.281729428173,0.431448353178
standardized_revenue,Virginia,239,0.291492329149,0.411922551225
standardized_revenue,West Virginia,245,0.296598639456,0.401834652011
standardized_revenue,Wisconsin,239,0.306834030683,0.381239148157
total_cost_margin,Alabama,239,0.616457461646,-0.242396037617
total_cost_margin,Arkansas,239,0.629009762901,-0.267500640127
total_cost_margin,Delaware,239,0.616457461646,-0.238352830524
total_cost_margin,Florida,245,0.619047619048,-0.247344161865
total_cost_margin,Georgia,239,0.629009762901,-0.267500640127
total_cost_margin,Illinois,239,0.626220362622,-0.258505535883
total_cost_margin,Indiana,239,0.620641562064,-0.250764238453
total_cost_margin,Iowa,245,0.623129251701,-0.255507427172
total_cost_margin,Kansas,239,0.63179916318,-0.273079440685
total_cost_margin,Kentucky,239,0.619246861925,-0.247974838175
total_cost_margin,Louisiana,245,0.624489795918,-0.258228515607
total_cost_margin,Maryland,239,0.615062761506,-0.239606637338
total_cost_margin,Michigan,239,0.615062761506,-0.237585033791
total_cost_margin,Minnesota,245,0.623129251701,-0.255507427172
total_cost_margin,Mississippi,239,0.634588563459,-0.278658241243
total_cost_margin,Missouri,239,0.616457461646,-0.242396037617
total_cost_margin,Nebraska,239,0.63179916318,-0.273079440685
total_cost_margin,New Jersey,240,0.613888888889,-0.23721938746
total_cost_margin,New York,239,0.610878661088,-0.231238436501
total_cost_margin,North Carolina,239,0.620641562064,-0.250764238453
total_cost_margin,North Dakota,239,0.615062761506,-0.239606637338
total_cost_margin,Ohio,239,0.620641562064,-0.250764238453
total_cost_margin,Oklahoma,239,0.63179916318,-0.273079440685
total_cost_margin,Pennsylvania,239,0.610878661088,-0.231238436501
total_cost_margin,South Carolina,239,0.616457461646,-0.242396037617
total_cost_margin,South Dakota,239,0.619246861925,-0.247974838175
total_cost_margin,Tennessee,239,0.620641562064,-0.250764238453
total_cost_margin,Texas,239,0.629009762901,-0.267500640127
total_cost_margin,Virginia,239,0.613668061367,-0.236817237059
total_cost_margin,West Virginia,245,0.620408163265,-0.250065250301
total_cost_margin,Wisconsin,239,0.615062761506,-0.239606637338
