state,year,crop,planted_acres_1000,yield_bushels_per_acre,source_path,source_table,source_unit_acres,source_unit_yield,national_nass_yield_bushels_per_acre,national_planted_acres_1000,harvest_price_usd_per_bushel,operating_cost_usd_per_planted_acre,total_cost_usd_per_planted_acre,cpi_u_deflator_to_2024,primary_margin_real_2024_usd_per_planted_acre,relative_yield,standardized_revenue_real_2024_usd_per_acre,standardized_operating_margin_real_2024_usd_per_acre,standardized_total_cost_margin_real_2024_usd_per_acre,observed_acreage_share,geographic_price_cost_scope,observed_allocation_interpretation,lagged_relative_yield,score_rank,acreage_rank
Georgia,2024,soybeans,170.0,47.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.9270216962524654,466.24,222.68,-184.59000000000003,0.2463768115942029,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8382076373836542,3.0,2.0
Georgia,2024,winter_wheat,145.0,59.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.1411992263056092,326.86,172.74,-64.11000000000001,0.21014492753623187,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1604995374653098,1.0,3.0
Illinois,2024,corn,10800.0,217.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.2102621305075292,861.49,426.83,-16.819999999999936,0.4827894501564595,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1980066237702407,3.0,1.0
Illinois,2024,soybeans,10800.0,64.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.26232741617357,634.88,391.32,-15.950000000000045,0.4827894501564595,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.257610289430065,2.0,1.0
Illinois,2024,winter_wheat,770.0,86.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.6634429400386845,476.44,322.32,85.46999999999997,0.03442109968708091,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7001093263812967,1.0,3.0
Indiana,2024,corn,5200.0,198.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.1042944785276072,786.0600000000001,351.40000000000003,-92.24999999999989,0.45977011494252873,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1203422346344727,3.0,2.0
Indiana,2024,soybeans,5800.0,59.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.1637080867850098,585.28,341.71999999999997,-65.55000000000007,0.5128205128205128,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1824038951931657,2.0,1.0
Indiana,2024,winter_wheat,310.0,89.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.7214700193423598,493.06,338.94,102.08999999999997,0.027409372236958444,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7707930367504834,1.0,3.0
Kansas,2024,corn,6300.0,129.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.7194645844952593,512.13,77.46999999999997,-366.17999999999995,0.34183396635919694,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.667192626030207,2.0,2.0
Kansas,2024,soybeans,4530.0,35.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.6903353057199211,347.2,103.63999999999999,-303.63000000000005,0.24579489962018447,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.5341347379829147,3.0,3.0
Kansas,2024,winter_wheat,7600.0,43.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,0.8317214700193423,238.22,84.1,-152.75000000000003,0.41237113402061853,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7394668236481372,1.0,1.0
Kentucky,2024,corn,1370.0,178.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.9927495817066369,706.6600000000001,272.00000000000006,-171.64999999999986,0.3442211055276382,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9771817555528233,3.0,2.0
Kentucky,2024,soybeans,2050.0,48.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.9467455621301775,476.15999999999997,232.59999999999997,-174.67000000000007,0.5150753768844221,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0575911640953715,2.0,1.0
Kentucky,2024,winter_wheat,560.0,75.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.4506769825918762,415.5,261.38,24.529999999999973,0.1407035175879397,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7206290471785384,1.0,3.0
Maryland,2024,corn,440.0,143.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.7975460122699386,567.71,133.05,-310.5999999999999,0.3492063492063492,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9410915754776081,2.0,2.0
Maryland,2024,soybeans,495.0,44.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.8678500986193294,436.48,192.92000000000002,-214.35000000000002,0.39285714285714285,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8978946194058396,3.0,1.0
Maryland,2024,winter_wheat,325.0,75.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.4506769825918762,415.5,261.38,24.529999999999973,0.25793650793650796,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.669708182659154,1.0,3.0
Michigan,2024,corn,2250.0,181.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.0094813162297824,718.57,283.91,-159.7399999999999,0.4639175257731959,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9582023313953829,2.0,1.0
Michigan,2024,soybeans,2200.0,49.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.9664694280078895,486.08,242.51999999999998,-164.75000000000006,0.4536082474226804,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9283357771260996,3.0,2.0
Michigan,2024,winter_wheat,400.0,87.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.6827852998065762,481.98,327.86,91.00999999999999,0.08247422680412371,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7031368261710536,1.0,3.0
Mississippi,2024,corn,490.0,186.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.037367540435025,738.4200000000001,303.76000000000005,-139.88999999999987,0.17192982456140352,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9862128388729832,3.0,2.0
Mississippi,2024,soybeans,2300.0,56.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.1045364891518736,555.52,311.96,-95.31000000000006,0.8070175438596491,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0977145225041438,1.0,1.0
Mississippi,2024,winter_wheat,60.0,50.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,0.9671179883945841,277.0,122.88,-113.97000000000003,0.021052631578947368,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0670254814565638,2.0,3.0
Missouri,2024,corn,3450.0,183.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.0206358059118794,726.51,291.84999999999997,-151.79999999999995,0.344311377245509,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.895716602556221,3.0,2.0
Missouri,2024,soybeans,5900.0,49.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.9664694280078895,486.08,242.51999999999998,-164.75000000000006,0.5888223552894212,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9329776552339666,2.0,1.0
Missouri,2024,winter_wheat,670.0,75.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.4506769825918762,415.5,261.38,24.529999999999973,0.06686626746506986,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.3299974770835086,1.0,3.0
Nebraska,2024,corn,10050.0,188.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,1.048522030117122,746.36,311.7,-131.94999999999993,0.6146788990825688,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.9890329178351941,2.0,1.0
Nebraska,2024,soybeans,5300.0,57.5,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.1341222879684418,570.4,326.84,-80.43000000000006,0.3241590214067278,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0028448935356369,1.0,2.0
Nebraska,2024,winter_wheat,1000.0,52.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.0058027079303675,288.08,133.95999999999998,-102.89000000000004,0.06116207951070336,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7554452947607434,3.0,3.0
New York,2024,corn,1020.0,169.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.9425543781372001,670.9300000000001,236.27000000000004,-207.37999999999988,0.6688524590163935,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8578504557989215,3.0,1.0
New York,2024,soybeans,370.0,51.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,1.0059171597633136,505.92,262.36,-144.91000000000003,0.24262295081967214,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.957581601428025,2.0,2.0
New York,2024,winter_wheat,135.0,75.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.4506769825918762,415.5,261.38,24.529999999999973,0.08852459016393442,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.5663527037255065,1.0,3.0
North Carolina,2024,corn,890.0,87.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.4852203011712214,345.39000000000004,-89.26999999999998,-532.9199999999998,0.3037542662116041,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7778734067529669,2.0,2.0
North Carolina,2024,soybeans,1630.0,39.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.7692307692307692,386.88,143.32,-263.95000000000005,0.5563139931740614,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7685396213183731,3.0,1.0
North Carolina,2024,winter_wheat,410.0,57.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.1025145067698259,315.78000000000003,161.66000000000003,-75.19,0.13993174061433447,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.3725506685728703,1.0,3.0
North Dakota,2024,corn,3950.0,149.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.8310094813162298,591.53,156.86999999999995,-286.78,0.3700234192037471,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7781271162789789,2.0,2.0
North Dakota,2024,soybeans,6600.0,37.5,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.7396449704142012,372.0,128.44,-278.83000000000004,0.6182669789227166,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7036130944791533,3.0,1.0
North Dakota,2024,winter_wheat,125.0,54.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.0444874274661509,299.16,145.04000000000002,-91.81,0.0117096018735363,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.191657556134892,1.0,3.0
Ohio,2024,corn,3400.0,177.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.9871723368655884,702.69,268.03000000000003,-175.6199999999999,0.379041248606466,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.0975913207922763,3.0,2.0
Ohio,2024,soybeans,5050.0,50.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.9861932938856015,496.0,252.44,-154.83000000000004,0.5629877369007804,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.1325983360958816,2.0,1.0
Ohio,2024,winter_wheat,520.0,85.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,1.6441005802707929,470.9,316.78,79.92999999999995,0.057971014492753624,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,1.7297535951560004,1.0,3.0
Oklahoma,2024,corn,450.0,98.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.5465699944227551,389.06,-45.60000000000002,-489.24999999999994,0.08482563619227144,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.7719795393025329,1.0,3.0
Oklahoma,2024,soybeans,505.0,20.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.3944773175542406,198.4,-45.16,-452.43000000000006,0.09519321394910461,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.4282879637893663,3.0,2.0
Oklahoma,2024,winter_wheat,4350.0,38.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Winter Wheat Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,51.7,33390.0,5.54,154.12,390.97,1.0,128.42,0.7350096711798839,210.52,56.400000000000006,-180.45000000000002,0.8199811498586239,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.5745521823227651,2.0,1.0
Pennsylvania,2024,corn,990.0,138.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Corn Area Planted for All Purposes and Harvested for Grain, Yield, and Production","1,000 acres",bushels per acre,179.3,90594.0,3.97,434.66,878.31,1.0,319.64,0.769659788064696,547.86,113.19999999999999,-330.44999999999993,0.5380434782608695,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8464432851870717,3.0,1.0
Pennsylvania,2024,soybeans,610.0,45.0,data/raw/usda_nass/crop_production_2024_summary.txt,"Soybeans for Beans Area Planted and Harvested, Yield, and Production - States and","1,000 acres",bushels per acre,50.7,87050.0,9.92,243.56,650.83,1.0,302.04,0.8875739644970414,446.4,202.83999999999997,-204.43000000000006,0.33152173913043476,STATE_YIELD_WITH_NATIONAL_PRICE_AND_COST,AGGREGATE_ACREAGE_NOT_MODEL_OPTIMUM,0.8978946194058396,2.0,2.0
