result_id,result_type,original_title,source_section,source_equations,exact_claim_summary,assumptions_explicit,assumptions_implicit,proof_method_claimed,proof_dependencies,numerical_or_theoretical,audit_priority,current_status,notes,minimal_repair,proof_artifact,simulation_requirement,empirical_requirement
R11,comparative static,Threshold comparative statics have stated signs,Theorem 2,,Threshold comparative statics have stated signs,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P1,NUMERICAL_CONJECTURE_ONLY,Signs depend on the full joint distribution; constraints; and optimizer selection,Pre-register restricted model and verify sensitivity numerically,theory/proofs/conditional/conditional_results.md,One-at-a-time and global sensitivity; basis tracking,Estimate parameter uncertainty before interpreting signs
R12,definition,Pseudo-diversifier definition via low Pearson and high lambda_L,Definition 3,,Pseudo-diversifier definition via low Pearson and high lambda_L,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P0,REQUIRES_REFORMULATION,Threshold is unspecified and two scalars do not define optimization value,Define diagnostic thresholds and keep label descriptive,theory/proofs/conditional/conditional_results.md,Edge cases across means and constraints,Estimate both metrics with confidence intervals
R13,proposition,Pseudo-diversification proposition guarantees exclusion and higher CVaR,Proposition 2,,Pseudo-diversification proposition guarantees exclusion and higher CVaR,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,Low correlation does not force inclusion; high tail dependence does not force exclusion; suboptimal profit does not imply higher CVaR,Replace by benchmark-conditional examples,theory/proofs/counterexamples/counterexamples.md,Low-correlation exclusion and high-dependence inclusion cases,Avoid causal label without counterfactual model
R14,value definition,Displayed value-of-information equation is coherent,Eq. 22,Eq. 22,Displayed value-of-information equation is coherent,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P0,REQUIRES_REFORMULATION,Expectation and decision timing differ across terms,Use posterior value with common outer expectation and recourse timing,theory/proofs/conditional/conditional_results.md,Perfect; noisy; and uninformative signals,Specify forecast vintage and action date
R15,theorem,Information has zero operational value under no flexibility,Theorem 3(i),,Information has zero operational value under no flexibility,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_ONLY_IN_RESTRICTED_CASE,True when feasible action set is singleton or a common optimal action exists,State common-policy condition explicitly,theory/proofs/verified/verified_results.md,Singleton and invariant-optimum tests,Verify actual recourse actions can change
R16,theorem,Information-flexibility value is strictly increasing and supermodular,Theorem 3(ii-iii),,Information-flexibility value is strictly increasing and supermodular,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/counterexamples/counterexamples.md,THEORETICAL,P0,FALSE_IN_GENERAL,Nested sets imply only weak flexibility value; strict complementarity needs lattice and increasing differences,Downgrade to weak monotonicity; add full Topkis conditions before complementarity,theory/proofs/counterexamples/counterexamples.md,Zero-value and substitute counterexamples,Estimate interaction only after timing/selection identification
R17,logical result,Ordinal suitability alone cannot identify cardinal acreage,Audit safe result A,,Ordinal suitability alone cannot identify cardinal acreage,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_AS_WRITTEN,Any strict rank is compatible with many cardinal allocations,Retain as scope condition,theory/proofs/verified/verified_results.md,none,Treat scores as ordinal unless validated cardinally
R18,proposition,Feasibility can force universal reversal,Audit safe result B,,Feasibility can force universal reversal,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_AS_WRITTEN,If sup_X xi < inf_X xj then every feasible and optimal allocation reverses,Use easily checked sufficient case ui<ellj,theory/proofs/verified/verified_results.md,Bound-forced synthetic case,Document policy/rotation origins of bounds
R19,proposition,A slack risk limit leaves the allocation unchanged,Audit safe result C,,A slack risk limit leaves the allocation unchanged,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P1,VALID_WITH_ADDITIONAL_ASSUMPTIONS,One slack optimum does not establish optimal-set equality under multiplicity,Require unique slack unconstrained optimum or all unconstrained optima risk-feasible,theory/proofs/conditional/conditional_results.md,Slack/binding and multiple-optimum checks,none
R20,proposition,Full KKT gives sufficient risk-adjusted optimality,Audit safe result D,,Full KKT gives sufficient risk-adjusted optimality,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P1,VALID_WITH_ADDITIONAL_ASSUMPTIONS,Requires convexity; feasibility; and a duality/constraint qualification,State subgradient KKT with all constraints,theory/proofs/conditional/conditional_results.md,Primal-dual residual check,none
R21,proposition,Dependence effect can be asserted within a verified ordered family,Audit safe result E,,Dependence effect can be asserted within a verified ordered family,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/conditional/conditional_results.md,THEORETICAL,P1,VALID_ONLY_IN_RESTRICTED_CASE,Family parameter monotonicity does not follow globally,Fix marginals/family and verify the relevant stochastic order,theory/proofs/conditional/conditional_results.md,Common-random-number family sweep,Family selection and parameter uncertainty
R22,proposition,Information has zero value when signal-contingent optimal policies coincide,Audit safe result F,,Information has zero value when signal-contingent optimal policies coincide,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/verified/verified_results.md,THEORETICAL,P1,VALID_AS_WRITTEN,A common optimizer attains both posterior and prior values,Retain with common-policy wording,theory/proofs/verified/verified_results.md,Invariant-policy test,Check actionability of forecast
R23,numerical claim,Illustrative simulation confirms a threshold near 0.58 and welfare effects,Sec. 5,,Illustrative simulation confirms a threshold near 0.58 and welfare effects,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/computational_checks/README.md,NUMERICAL,P1,NUMERICAL_CONJECTURE_ONLY,Inputs are illustrative and no admissible run/evidence supports the numbers,Move all numbers to a future preregistered simulation,theory/proofs/computational_checks/README.md,Rebuild from registered parameters and seeds,Do not compare with observed acreage yet
R24,empirical claim,Illustrative out-of-sample exercise validates model predictions,Sec. 5.6,,Illustrative out-of-sample exercise validates model predictions,See teacher source section,See assumptions_registry.csv and linked proof artifact,"Teacher proof, KKT argument, or narrative mechanism as applicable",theory/proofs/computational_checks/README.md,NUMERICAL,P1,UNRESOLVED,No provenance-qualified validation design or admitted results are supplied,Specify sample; benchmark; metric; uncertainty; and holdout protocol,theory/proofs/computational_checks/README.md,Freeze model before holdout,Run only after empirical requirements are met
R25,model equation,Stochastic per-acre profit decomposition,Sec. 3,profit equation,Per-acre profit is stochastic price times stochastic yield minus deterministic per-acre cost,Price and yield stochastic; cost deterministic,Common units; homogeneous acres; no fixed costs/feedback,Algebra and unit decomposition,notation_dictionary.csv; sign_and_dimension_audit.md,THEORETICAL,P1,VALID_AS_WRITTEN,Coherent under the stated linear per-acre scope,Retain and state excluded nonlinearities,theory/specifications/canonical_model_specification.md,Test unit and finite-value validation,"Align price, yield, cost geography/time/base year"
R26,model representation,Copula representation of joint crop profits,Sec. 3,joint CDF equation,A copula combines marginal crop-profit distributions into a joint distribution,Named marginals and copula,Valid n-copula; continuous margins for uniqueness,Sklar-style representation,dependence_model_specification.md,THEORETICAL,P1,VALID_WITH_ADDITIONAL_ASSUMPTIONS,Representation is standard but validity/dimension/uniqueness conditions must be stated,Require valid n-copula and distinguish pairwise from multivariate dependence,theory/specifications/dependence_model_specification.md,"Validate uniforms, marginals, and copula dimension",Fit synchronized joint profit data
R27,recommendation mapping,Proportional suitability-to-acreage recommendation,Sec. 3,recommendation equation,Allocate acreage proportional to suitability scores,Scores supplied,Nonnegative nonzero cardinal ratio-scale scores; operational feasibility,Direct normalization,canonical_model_specification.md,THEORETICAL,P1,VALID_ONLY_IN_RESTRICTED_CASE,Ordinal scores do not justify ratios and the mapping can violate constraints,Use only as a declared benchmark followed by feasibility diagnostics,theory/specifications/canonical_model_specification.md,"Test zero, negative, tied, and infeasible scores",Validate score scale before interpretation
R28,recommendation mapping,Winner-take-all suitability recommendation,Sec. 3,recommendation equation,Allocate all land to a highest-score crop,A maximum score exists,Tie rule and operational feasibility,Argmax mapping,canonical_model_specification.md,THEORETICAL,P1,VALID_AFTER_NOTATIONAL_REPAIR,Ties and constraints make the mapping set-valued or infeasible,Declare tie selection/split and treat as benchmark,theory/specifications/canonical_model_specification.md,Tie and constraint-feasibility tests,Report tie frequency and benchmark infeasibility
R29,optimization model,Expected-profit maximization over operational and CVaR constraints,Sec. 3,optimization program,"Choose multi-crop acreage to maximize expected portfolio profit subject to land, bounds, rotations, budget, and CVaR",Linear returns and stated constraints,Nonempty compact feasible set; integrable profits,Stochastic-program formulation,canonical_model_specification.md; constraint_registry.csv,THEORETICAL,P1,VALID_AFTER_NOTATIONAL_REPAIR,Architecture is coherent after unified set and loss convention,Use canonical X and RU CVaR specification,theory/specifications/canonical_model_specification.md,"Feasibility, boundedness, and primal-dual checks",Operational constraints require authoritative provenance
R30,definition,Lower-tail dependence coefficient,Sec. 3,tail-dependence limit,lambda_L is the diagonal lower-tail copula limit,Bivariate copula,Existence of the limit; correct adverse profit-tail orientation,Limit definition,dependence_model_specification.md,THEORETICAL,P1,VALID_WITH_ADDITIONAL_ASSUMPTIONS,Limit may not exist and pairwise coefficients do not summarize n-way dependence,Condition on existence and store pairwise matrix,theory/specifications/dependence_model_specification.md,Estimator bias and finite-tail checks,Confidence intervals and synchronized extremes
R31,claimed mechanism,Stronger lower-tail dependence causes ranking reversal,Abstract; Discussion; Conclusion,,Tail dependence is presented as the economic mechanism generating reversals,None beyond narrative,"Complete joint-law ordering, binding risk, optimizer selection, and exclusion of constraint mechanisms",Narrative synthesis of Proposition 1 and Theorem 2,R09;R10;R11,THEORETICAL,P1,NUMERICAL_CONJECTURE_ONLY,The constituent global monotonicity and threshold results fail,Treat as a preregistered family-specific hypothesis,theory/proofs/counterexamples/counterexamples.md,Family-specific falsification sweeps with active-set audit,Observed reversal alone cannot identify CVaR causation
