ranking_definition,state,decision_year,score_leader_changed,acreage_leader_changed,transition_category,prior_top_minus_other_share_change,prior_score_leaders,current_score_leaders,prior_acreage_leaders,current_acreage_leaders
operating_margin,Indiana,2018,False,False,neither,-0.00132654676468,soybeans,soybeans,soybeans,soybeans
operating_margin,Indiana,2019,True,False,score_only,-0.0138410262709,soybeans,corn,soybeans,soybeans
operating_margin,Indiana,2020,True,False,score_only,0.00844874388015,corn,soybeans,soybeans,soybeans
operating_margin,Indiana,2021,True,False,score_only,-0.00920136026776,soybeans,corn,soybeans,soybeans
operating_margin,Indiana,2022,False,False,neither,-0.0197541703248,corn,corn,soybeans,soybeans
operating_margin,Indiana,2023,True,False,score_only,0.0285511984719,corn,winter_wheat,soybeans,soybeans
operating_margin,Indiana,2024,True,False,score_only,-0.0123866021465,winter_wheat,corn,soybeans,soybeans
operating_margin,Iowa,2017,False,False,neither,0.0350106091923,soybeans,soybeans,corn,corn
operating_margin,Iowa,2018,True,False,score_only,0.00277108480743,soybeans,corn,corn,corn
operating_margin,Kansas,2017,False,False,neither,0.079095036672,soybeans,soybeans,winter_wheat,winter_wheat
operating_margin,Kansas,2018,False,False,neither,-0.0252429784954,soybeans,soybeans,winter_wheat,winter_wheat
operating_margin,Kansas,2019,True,False,score_only,-0.0199283492471,soybeans,corn,winter_wheat,winter_wheat
operating_margin,Kansas,2020,True,False,score_only,-0.00899881282153,corn,soybeans,winter_wheat,winter_wheat
operating_margin,Kansas,2021,True,False,score_only,-0.00386554621849,soybeans,corn,winter_wheat,winter_wheat
operating_margin,Kansas,2022,False,False,neither,-0.0168067226891,corn,corn,winter_wheat,winter_wheat
operating_margin,Kansas,2023,False,False,neither,0.00964225952963,corn,corn,winter_wheat,winter_wheat
operating_margin,Kansas,2024,True,False,score_only,0.0409238160596,corn,soybeans,winter_wheat,winter_wheat
operating_margin,Kentucky,2017,False,False,neither,0.0734210526316,soybeans,soybeans,soybeans,soybeans
operating_margin,Kentucky,2018,True,False,score_only,0.0115567282322,soybeans,corn,soybeans,soybeans
operating_margin,Kentucky,2019,False,False,neither,0.096341628203,corn,corn,soybeans,soybeans
operating_margin,Kentucky,2020,True,False,score_only,-0.0509666204528,corn,soybeans,soybeans,soybeans
operating_margin,Kentucky,2021,True,False,score_only,-0.0148244108632,soybeans,corn,soybeans,soybeans
operating_margin,Kentucky,2022,True,False,score_only,-0.0484753098564,corn,winter_wheat,soybeans,soybeans
operating_margin,Kentucky,2023,False,False,neither,0.0226389946687,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Kentucky,2024,True,False,score_only,-0.0154298721329,winter_wheat,corn,soybeans,soybeans
operating_margin,Louisiana,2017,False,False,neither,0.0802458100559,soybeans,soybeans,soybeans,soybeans
operating_margin,Louisiana,2018,False,False,neither,0.0431922064731,soybeans,soybeans,soybeans,soybeans
operating_margin,Maryland,2017,False,False,neither,-0.0425212069151,soybeans,soybeans,soybeans,soybeans
operating_margin,Maryland,2018,False,False,neither,0.0468978200898,soybeans,soybeans,soybeans,soybeans
operating_margin,Maryland,2019,True,True,both,-0.0471403227169,soybeans,corn,soybeans,corn
operating_margin,Maryland,2020,True,True,both,-0.0275791624106,corn,soybeans,corn,soybeans
operating_margin,Maryland,2021,True,False,score_only,0.0120820271682,soybeans,corn,soybeans,soybeans
operating_margin,Maryland,2022,False,False,neither,-0.053743398571,corn,corn,soybeans,soybeans
operating_margin,Maryland,2023,True,True,both,0.0716530483972,corn,winter_wheat,soybeans,corn
operating_margin,Maryland,2024,False,True,acreage_only,-0.00844407530454,winter_wheat,winter_wheat,corn,soybeans
operating_margin,Michigan,2017,True,True,both,0.071414258098,soybeans,winter_wheat,corn,soybeans
operating_margin,Michigan,2018,False,True,acreage_only,0.00599388307534,winter_wheat,winter_wheat,soybeans,corn;soybeans
operating_margin,Michigan,2019,True,True,both,0.0417088552994,winter_wheat,corn,corn;soybeans,corn
operating_margin,Michigan,2020,True,False,score_only,0.00334907745001,corn,soybeans,corn,corn
operating_margin,Michigan,2021,True,False,score_only,-0.0236464448793,soybeans,corn,corn,corn
operating_margin,Michigan,2022,False,False,neither,-0.00120112026436,corn,corn,corn,corn
operating_margin,Michigan,2023,True,False,score_only,0.0256629597947,corn,winter_wheat,corn,corn
operating_margin,Michigan,2024,False,False,neither,-0.0548600883652,winter_wheat,winter_wheat,corn,corn
operating_margin,Minnesota,2017,True,True,both,0.0468378830085,soybeans,corn,corn,soybeans
operating_margin,Minnesota,2018,False,True,acreage_only,0.00933806657583,corn,corn,soybeans,corn
operating_margin,Mississippi,2017,False,False,neither,0.120573642573,soybeans,soybeans,soybeans,soybeans
operating_margin,Mississippi,2018,True,False,score_only,0.0173874231629,soybeans,corn,soybeans,soybeans
operating_margin,Mississippi,2019,False,False,neither,0.158206821145,corn,corn,soybeans,soybeans
operating_margin,Mississippi,2020,True,False,score_only,-0.12883192389,corn,soybeans,soybeans,soybeans
operating_margin,Mississippi,2021,True,False,score_only,-0.0939039408867,soybeans,corn,soybeans,soybeans
operating_margin,Mississippi,2022,False,False,neither,-0.0686360116645,corn,corn,soybeans,soybeans
operating_margin,Mississippi,2023,True,False,score_only,0.0925252459655,corn,soybeans,soybeans,soybeans
operating_margin,Mississippi,2024,False,False,neither,0.152273888605,soybeans,soybeans,soybeans,soybeans
operating_margin,Missouri,2017,False,False,neither,0.0483229708582,soybeans,soybeans,soybeans,soybeans
operating_margin,Missouri,2018,False,False,neither,-0.023720449885,soybeans,soybeans,soybeans,soybeans
operating_margin,Missouri,2019,True,False,score_only,-0.00526616384741,soybeans,corn,soybeans,soybeans
operating_margin,Missouri,2020,True,False,score_only,-0.0132317770615,corn,soybeans,soybeans,soybeans
operating_margin,Missouri,2021,True,False,score_only,-0.0370782980089,soybeans,corn,soybeans,soybeans
operating_margin,Missouri,2022,False,False,neither,-0.0447476525822,corn,corn,soybeans,soybeans
operating_margin,Missouri,2023,True,False,score_only,0.0660042242704,corn,winter_wheat,soybeans,soybeans
operating_margin,Missouri,2024,True,False,score_only,-0.0140701002687,winter_wheat,corn,soybeans,soybeans
operating_margin,Nebraska,2017,False,False,neither,0.047266433875,soybeans,soybeans,corn,corn
operating_margin,Nebraska,2018,True,False,score_only,-0.000955421130265,soybeans,corn,corn,corn
operating_margin,Nebraska,2019,False,False,neither,0.0647016862203,corn,corn,corn,corn
operating_margin,Nebraska,2020,True,False,score_only,-0.00410015995969,corn,soybeans,corn,corn
operating_margin,Nebraska,2021,True,False,score_only,0.0330436472056,soybeans,corn,corn,corn
operating_margin,Nebraska,2022,False,False,neither,-0.0225722816484,corn,corn,corn,corn
operating_margin,Nebraska,2023,False,False,neither,0.0321494182486,corn,corn,corn,corn
operating_margin,Nebraska,2024,True,False,score_only,0.00805631555588,corn,soybeans,corn,corn
operating_margin,New Jersey,2017,False,False,neither,0.0182926829268,soybeans,soybeans,soybeans,soybeans
operating_margin,New Jersey,2018,True,False,score_only,0.0576923076923,soybeans,winter_wheat,soybeans,soybeans
operating_margin,New Jersey,2019,True,False,score_only,0.0107531212243,winter_wheat,corn,soybeans,soybeans
operating_margin,New Jersey,2020,True,False,score_only,-0.00169696650793,corn,soybeans,soybeans,soybeans
operating_margin,New Jersey,2021,True,False,score_only,0.0377259431486,soybeans,corn,soybeans,soybeans
operating_margin,New Jersey,2022,True,False,score_only,-0.0820895522388,corn,winter_wheat,soybeans,soybeans
operating_margin,New Jersey,2023,False,False,neither,0.0540158371041,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,New York,2017,False,False,neither,-0.0321207961565,soybeans,soybeans,corn,corn
operating_margin,New York,2018,False,False,neither,0.0341945288754,soybeans,soybeans,corn,corn
operating_margin,New York,2019,True,False,score_only,-0.059346787042,soybeans,corn,corn,corn
operating_margin,New York,2020,True,False,score_only,-0.104101652348,corn,soybeans,corn,corn
operating_margin,New York,2021,True,False,score_only,0.00257393927471,soybeans,corn,corn,corn
operating_margin,New York,2022,True,False,score_only,-0.0194117647059,corn,winter_wheat,corn,corn
operating_margin,New York,2023,False,False,neither,0.0061038961039,winter_wheat,winter_wheat,corn,corn
operating_margin,New York,2024,True,False,score_only,-0.013317010858,winter_wheat,soybeans,corn,corn
operating_margin,North Carolina,2017,False,False,neither,0.0237032492808,soybeans,soybeans,soybeans,soybeans
operating_margin,North Carolina,2018,True,False,score_only,-0.0192793656326,soybeans,winter_wheat,soybeans,soybeans
operating_margin,North Carolina,2019,False,False,neither,-0.0742215020431,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,North Carolina,2020,True,False,score_only,0.0677841545353,winter_wheat,soybeans,soybeans,soybeans
operating_margin,North Carolina,2021,True,False,score_only,0.0193498452012,soybeans,corn,soybeans,soybeans
operating_margin,North Carolina,2022,True,False,score_only,-0.0605882352941,corn,winter_wheat,soybeans,soybeans
operating_margin,North Carolina,2023,False,False,neither,-0.00547231270358,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,North Carolina,2024,False,False,neither,-0.0246300763749,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,North Dakota,2017,False,False,neither,0.0632981211335,soybeans,soybeans,soybeans,soybeans
operating_margin,North Dakota,2018,True,False,score_only,0.0155478938019,soybeans,corn,soybeans,soybeans
operating_margin,North Dakota,2019,False,False,neither,0.105377888435,corn,corn,soybeans,soybeans
operating_margin,North Dakota,2020,False,False,neither,-0.193677127774,corn,corn,soybeans,soybeans
operating_margin,North Dakota,2021,False,False,neither,0.159680435843,corn,corn,soybeans,soybeans
operating_margin,North Dakota,2022,True,False,score_only,-0.0321619414281,corn,winter_wheat,soybeans,soybeans
operating_margin,North Dakota,2023,False,False,neither,0.00435530626969,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,North Dakota,2024,True,False,score_only,-0.0047806236193,winter_wheat,corn,soybeans,soybeans
operating_margin,Ohio,2017,False,False,neither,0.0408118647049,soybeans,soybeans,soybeans,soybeans
operating_margin,Ohio,2018,False,False,neither,-0.0166852057842,soybeans,soybeans,soybeans,soybeans
operating_margin,Ohio,2019,True,False,score_only,0.0144239213161,soybeans,corn,soybeans,soybeans
operating_margin,Ohio,2020,True,False,score_only,0.0370694177304,corn,soybeans,soybeans,soybeans
operating_margin,Ohio,2021,True,False,score_only,-0.00830564784053,soybeans,corn,soybeans,soybeans
operating_margin,Ohio,2022,False,False,neither,-0.0236632608287,corn,corn,soybeans,soybeans
operating_margin,Ohio,2023,True,False,score_only,0.0339622641509,corn,winter_wheat,soybeans,soybeans
operating_margin,Ohio,2024,False,False,neither,-0.0213768115942,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Oklahoma,2017,False,False,neither,0.0548547431585,soybeans,soybeans,winter_wheat,winter_wheat
operating_margin,Oklahoma,2018,True,False,score_only,-0.00183860042273,soybeans,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2019,False,False,neither,0.0205087750234,corn,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2020,False,False,neither,-0.00577965844504,corn,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2021,False,False,neither,-0.00858408109248,corn,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2022,False,False,neither,0.00519404864423,corn,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2023,False,False,neither,0.00727462303497,corn,corn,winter_wheat,winter_wheat
operating_margin,Oklahoma,2024,True,False,score_only,0.0189051209551,corn,winter_wheat,winter_wheat,winter_wheat
operating_margin,Pennsylvania,2017,False,False,neither,0.0107000820655,soybeans,soybeans,corn,corn
operating_margin,Pennsylvania,2018,True,False,score_only,0.0177002815594,soybeans,winter_wheat,corn,corn
operating_margin,Pennsylvania,2019,True,False,score_only,-0.0138672768879,winter_wheat,corn,corn,corn
operating_margin,Pennsylvania,2020,True,False,score_only,-0.019298245614,corn,soybeans,corn,corn
operating_margin,Pennsylvania,2021,True,False,score_only,0.00488038277512,soybeans,corn,corn,corn
operating_margin,Pennsylvania,2022,True,False,score_only,-0.0972943722944,corn,winter_wheat,corn,corn
operating_margin,Pennsylvania,2023,False,False,neither,0.00793650793651,winter_wheat,winter_wheat,corn,corn
operating_margin,Pennsylvania,2024,False,False,neither,-0.0265700483092,winter_wheat,winter_wheat,corn,corn
operating_margin,South Carolina,2017,False,False,neither,-0.0225563909774,soybeans,soybeans,soybeans,soybeans
operating_margin,South Carolina,2018,True,False,score_only,0.00793650793651,soybeans,winter_wheat,soybeans,soybeans
operating_margin,South Carolina,2019,False,True,acreage_only,-0.0143901863647,winter_wheat,winter_wheat,soybeans,corn
operating_margin,South Carolina,2020,True,False,score_only,0.0699457419203,winter_wheat,soybeans,corn,corn
operating_margin,South Carolina,2021,True,False,score_only,0.0699476650564,soybeans,corn,corn,corn
operating_margin,South Carolina,2022,True,True,both,-0.0841265757654,corn,winter_wheat,corn,soybeans
operating_margin,South Carolina,2023,False,False,neither,-0.0233625790655,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,South Carolina,2024,False,False,neither,-0.0396551724138,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,South Dakota,2017,False,False,neither,0.0401872887657,soybeans,soybeans,corn,corn
operating_margin,South Dakota,2018,True,True,both,0.0281672976843,soybeans,corn,corn,soybeans
operating_margin,South Dakota,2019,False,True,acreage_only,0.0742662552459,corn,corn,soybeans,corn
operating_margin,South Dakota,2020,True,True,both,-0.0478030429181,corn,soybeans,corn,soybeans
operating_margin,South Dakota,2021,True,True,both,-0.0492181728638,soybeans,corn,soybeans,corn
operating_margin,South Dakota,2022,False,False,neither,-0.00550983208131,corn,corn,corn,corn
operating_margin,South Dakota,2023,True,False,score_only,0.0286036737235,corn,soybeans,corn,corn
operating_margin,South Dakota,2024,True,False,score_only,0.0485916110916,soybeans,corn,corn,corn
operating_margin,Tennessee,2017,False,False,neither,0.0551964558065,soybeans,soybeans,soybeans,soybeans
operating_margin,Tennessee,2018,True,False,score_only,0.00212008783221,soybeans,corn,soybeans,soybeans
operating_margin,Tennessee,2019,False,False,neither,0.155439582497,corn,corn,soybeans,soybeans
operating_margin,Tennessee,2020,True,False,score_only,-0.0899818706775,corn,soybeans,soybeans,soybeans
operating_margin,Tennessee,2021,True,False,score_only,-0.0979546353212,soybeans,corn,soybeans,soybeans
operating_margin,Tennessee,2022,True,False,score_only,-0.0843556674007,corn,winter_wheat,soybeans,soybeans
operating_margin,Tennessee,2023,False,False,neither,0.0214165009369,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Tennessee,2024,False,False,neither,-0.0376675449651,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,Texas,2017,False,False,neither,0.012110754333,soybeans,soybeans,winter_wheat,winter_wheat
operating_margin,Texas,2018,False,False,neither,-0.00461709486166,soybeans,soybeans,winter_wheat,winter_wheat
operating_margin,Texas,2019,True,False,score_only,-0.0214687262598,soybeans,corn,winter_wheat,winter_wheat
operating_margin,Texas,2020,True,False,score_only,-0.0580475338419,corn,soybeans,winter_wheat,winter_wheat
operating_margin,Texas,2021,True,False,score_only,-0.00349639813384,soybeans,corn,winter_wheat,winter_wheat
operating_margin,Texas,2022,False,False,neither,0.00847033286565,corn,corn,winter_wheat,winter_wheat
operating_margin,Texas,2023,False,False,neither,-0.00855065099685,corn,corn,winter_wheat,winter_wheat
operating_margin,Texas,2024,True,False,score_only,0.000616566884103,corn,soybeans,winter_wheat,winter_wheat
operating_margin,Virginia,2017,False,False,neither,-0.0114503816794,soybeans,soybeans,soybeans,soybeans
operating_margin,Virginia,2018,True,False,score_only,-0.00261225437553,soybeans,winter_wheat,soybeans,soybeans
operating_margin,Virginia,2019,True,False,score_only,-0.0530550888673,winter_wheat,corn,soybeans,soybeans
operating_margin,Virginia,2020,True,False,score_only,-0.00568475452196,corn,soybeans,soybeans,soybeans
operating_margin,Virginia,2021,True,False,score_only,0.0459119496855,soybeans,corn,soybeans,soybeans
operating_margin,Virginia,2022,False,False,neither,-0.084772995283,corn,corn,soybeans,soybeans
operating_margin,Virginia,2023,True,False,score_only,0.0784466911765,corn,winter_wheat,soybeans,soybeans
operating_margin,Virginia,2024,False,False,neither,-0.0508678881389,winter_wheat,winter_wheat,soybeans,soybeans
operating_margin,West Virginia,2017,False,False,neither,-0.0114812189936,soybeans,soybeans,corn,corn
operating_margin,West Virginia,2018,False,False,neither,0.0420479302832,soybeans,soybeans,corn,corn
operating_margin,Wisconsin,2017,False,False,neither,0.0470228526078,soybeans,soybeans,corn,corn
operating_margin,Wisconsin,2018,True,False,score_only,0.00532901301136,soybeans,corn,corn,corn
operating_margin,Wisconsin,2019,False,False,neither,0.0694541680737,corn,corn,corn,corn
operating_margin,Wisconsin,2020,True,False,score_only,-0.025609189919,corn,soybeans,corn,corn
operating_margin,Wisconsin,2021,True,False,score_only,-0.00133262872504,soybeans,corn,corn,corn
operating_margin,Wisconsin,2022,False,False,neither,-0.0191558153955,corn,corn,corn,corn
operating_margin,Wisconsin,2023,True,False,score_only,0.0191558153955,corn,winter_wheat,corn,corn
operating_margin,Wisconsin,2024,False,False,neither,-0.00125081388575,winter_wheat,winter_wheat,corn,corn
relative_yield,Alabama,2017,False,False,neither,-0.0520408163265,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Alabama,2018,False,False,neither,0.0137254901961,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Alabama,2019,False,True,acreage_only,-0.0409982174688,winter_wheat,winter_wheat,soybeans,corn
relative_yield,Alabama,2020,False,False,neither,-0.00091519219036,winter_wheat,winter_wheat,corn,corn
relative_yield,Alabama,2021,False,False,neither,0.0406879194631,winter_wheat,winter_wheat,corn,corn
relative_yield,Alabama,2022,False,True,acreage_only,0.00892857142857,winter_wheat,winter_wheat,corn,soybeans
relative_yield,Alabama,2023,False,False,neither,0.0260290556901,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Alabama,2024,False,False,neither,-0.124484654146,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2017,False,False,neither,-0.0652766639936,corn,corn,soybeans,soybeans
relative_yield,Arkansas,2018,True,False,score_only,0.0267901286295,corn,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2019,True,False,score_only,-0.0170487988737,winter_wheat,corn,soybeans,soybeans
relative_yield,Arkansas,2020,True,False,score_only,-0.0677812414807,corn,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2021,False,False,neither,0.0161598122257,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2022,False,False,neither,0.00346270251024,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2023,False,False,neither,0.00468339865521,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Arkansas,2024,True,False,score_only,-0.0319862390233,winter_wheat,soybeans,soybeans,soybeans
relative_yield,Delaware,2017,False,False,neither,0.0118250780901,winter_wheat,winter_wheat,corn,corn
relative_yield,Delaware,2018,False,True,acreage_only,2.77555756156e-17,winter_wheat,winter_wheat,corn,corn;soybeans
relative_yield,Delaware,2019,False,True,acreage_only,-0.0460843373494,winter_wheat,winter_wheat,corn;soybeans,corn
relative_yield,Delaware,2020,False,False,neither,0.0527777777778,winter_wheat,winter_wheat,corn,corn
relative_yield,Delaware,2021,False,False,neither,-0.0470085470085,winter_wheat,winter_wheat,corn,corn
relative_yield,Delaware,2022,False,True,acreage_only,0.0692307692308,winter_wheat,winter_wheat,corn,corn;soybeans
relative_yield,Delaware,2023,False,True,acreage_only,-0.0037037037037,winter_wheat,winter_wheat,corn;soybeans,corn
relative_yield,Delaware,2024,False,False,neither,-0.0270655270655,winter_wheat,winter_wheat,corn,corn
relative_yield,Florida,2017,False,False,neither,0.12047163363,corn,corn,corn,corn
relative_yield,Florida,2018,False,False,neither,0.105092276145,corn,corn,corn,corn
relative_yield,Georgia,2017,False,False,neither,-0.0045211473019,corn,corn,corn,corn
relative_yield,Georgia,2018,True,False,score_only,0.0086036758357,corn,winter_wheat,corn,corn
relative_yield,Georgia,2019,False,False,neither,-0.0989239847275,winter_wheat,winter_wheat,corn,corn
relative_yield,Georgia,2020,False,False,neither,0.0525712414019,winter_wheat,winter_wheat,corn,corn
relative_yield,Georgia,2021,False,False,neither,-0.00855130784708,winter_wheat,winter_wheat,corn,corn
relative_yield,Georgia,2022,False,False,neither,-0.00824175824176,winter_wheat,winter_wheat,corn,corn
relative_yield,Georgia,2023,False,False,neither,-0.0364010989011,winter_wheat,winter_wheat,corn,corn
relative_yield,Georgia,2024,False,False,neither,-0.0329968944099,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2017,False,False,neither,-0.00147122335552,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2018,False,False,neither,0.00654628443306,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2019,False,False,neither,0.00602995937712,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2020,False,False,neither,-0.007642901577,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2021,False,False,neither,0.00656234562538,winter_wheat,winter_wheat,corn,corn
relative_yield,Illinois,2022,False,True,acreage_only,-0.00130775013496,winter_wheat,winter_wheat,corn,corn;soybeans
relative_yield,Illinois,2023,False,True,acreage_only,0.0124548981036,winter_wheat,winter_wheat,corn;soybeans,corn
relative_yield,Illinois,2024,False,True,acreage_only,-0.00464347329207,winter_wheat,winter_wheat,corn,corn;soybeans
relative_yield,Indiana,2017,False,False,neither,-0.00521375851078,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2018,False,False,neither,0.0025193241077,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2019,False,False,neither,0.00608065964922,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2020,False,False,neither,-0.00683102919212,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2021,False,False,neither,0.00547480935932,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2022,False,False,neither,-0.00658472344162,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2023,False,False,neither,0.0153092645406,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Indiana,2024,False,False,neither,-0.0123866021465,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Iowa,2017,True,False,score_only,-0.0344390914818,corn,winter_wheat,corn,corn
relative_yield,Iowa,2018,False,False,neither,4.4337356919e-06,winter_wheat,winter_wheat,corn,corn
relative_yield,Kansas,2017,False,False,neither,-0.0977220691529,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2018,True,False,score_only,0.0205938624015,winter_wheat,soybeans,winter_wheat,winter_wheat
relative_yield,Kansas,2019,True,False,score_only,-0.0199283492471,soybeans,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2020,False,False,neither,-0.0243134151167,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2021,False,False,neither,0.047731092437,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2022,False,False,neither,-2.77555756156e-17,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2023,False,False,neither,0.0512154533586,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kansas,2024,False,False,neither,-0.0461041304789,winter_wheat,winter_wheat,winter_wheat,winter_wheat
relative_yield,Kentucky,2017,False,False,neither,-0.00931578947368,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Kentucky,2018,False,False,neither,-0.0138997361478,winter_wheat,winter_wheat,soybeans,soybeans
relative_yield,Kentucky,2019,False,False,neither,0.00788356364102,winter_wheat,winter_wheat,soybeans,soybeans
